"Provincia","Provincia_id","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"San Martin","2209",0,7,6,6,1,5,0,2,5,10,0,0,0,2,2,4,0,1,2,0,2,1,8,3
"Bolognesi","0205",0,1,0,0,0,0,0,3,1,2,0,0,0,5,1,0,0,1,0,0,0,3,0,0
"Camana","0402",4,1,1,0,2,2,1,3,1,1,0,0,5,0,1,0,2,0,0,0,0,0,5,7
"Castilla","0404",0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0
"Moyobamba","2201",3,3,0,0,1,2,2,0,2,2,0,0,1,1,0,0,0,0,0,0,0,2,6,0
"Recuay","0217",0,1,0,0,0,0,0,0,1,0,6,4,0,0,2,1,0,0,0,0,0,0,2,0
"Chanchamayo","1203",0,0,0,0,0,1,1,1,4,4,0,2,5,2,3,6,0,0,3,0,0,3,3,3
"Churcampa","0905",0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,0
"Cajabamba","0602",0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Huaral","1506",0,1,0,3,0,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,3,3
"San Roman","2111",1,3,4,1,10,10,1,6,4,10,2,7,7,11,9,0,1,6,1,0,1,4,13,39
"Pisco","1105",5,4,5,2,9,9,5,5,4,13,3,3,5,0,2,1,0,0,0,1,0,1,0,2
"Tambopata","1701",5,3,8,2,3,0,0,4,8,6,6,15,18,10,19,10,0,4,0,0,2,3,5,28
"Chepen","1304",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Espinar","0808",0,1,0,0,0,8,0,1,1,14,11,2,12,4,0,1,1,2,0,1,5,5,16,9
"Tarma","1207",1,0,0,0,0,0,1,0,0,7,0,0,5,2,0,0,0,1,2,0,0,2,6,0
"Lauricocha","1010",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
